sq_mt_built_proc,sq_mt_built_present,sq_mt_useful_present,sq_mt_price,center_distance,bearing_sin,bearing_cos,latitude,longitude,has_balcony,has_ac,has_terrace,has_pool,is_exterior,is_renewal_needed,is_orientation_north,is_parking_included_in_price,is_orientation_stated,has_fitted_wardrobes,has_parking,is_orientation_west,has_central_heating,has_green_zones,is_accessible,is_new_development,is_orientation_east,is_orientation_south,has_lift,has_storage_room,has_garden,has_individual_heating,is_floor_under,energy_certificate_provided,energy_certificate,built_year,n_rooms,n_bathrooms,house_type_id
4.356708826689592,1,1,2205.31,3.608253477975377,0.1005536494708289,-0.9949316376405456,40.3843762,-3.6992931,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1970.0,3,1.0,
5.1298987149230735,1,0,2803.11,3.943237910507596,0.991132895241679,-0.1328743164416918,40.4119951,-3.6575338,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,2010.0,3,2.0,
3.4011973816621555,1,0,2205.31,3.608253477975377,0.1005536494708289,-0.9949316376405456,40.3843762,-3.6992931,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,1.0,
4.30406509320417,1,1,1896.75,4.595531809111183,0.8190261400792672,-0.5737562042077249,40.3930132,-3.659194,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0.0,3,1.0,
5.19295685089021,1,0,5170.22,4.259577973752568,0.3207034198883973,0.9471796643044478,40.4530225,-3.687422,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,2010.0,3,3.0,
5.8289456176102075,1,1,4367.9,3.724196294199672,0.8091535149105583,0.5875973019916693,40.436356,-3.6680189,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1970.0,6,4.0,
4.343805421853684,1,1,3341.09,5.167374900223467,0.8859776684082696,0.463727906300501,40.4382057,-3.6495784,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0.0,2,1.0,
5.135798437050262,1,1,4456.18,9.388718818428808,0.4246608281927624,0.905352517530402,40.4931887,-3.6564023,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,4,2010.0,4,2.0,
4.189654742026425,1,0,4693.52,0.9566274554836592,-0.987088655443516,-0.1601748616191441,40.4153295,-3.7147092,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0.0,1,1.0,
4.927253685157205,1,0,4456.18,9.388718818428808,0.4246608281927624,0.905352517530402,40.4931887,-3.6564023,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.0,3,2.0,
5.908082938168931,1,1,4807.69,1.888310098675976,-0.564211806172202,0.8256300853141808,40.4307266,-3.7161715,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1970.0,4,4.0,
3.6109179126442243,1,1,3536.07,4.007370201423607,-0.0771134714915708,0.9970223229770327,40.4526848,-3.7072396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1950.0,1,1.0,
3.8066624897703196,1,0,4347.59,4.887810988203142,0.2345453325170399,0.9721051830920722,40.4594841,-3.6900166,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0.0,1,1.0,
6.07073772800249,1,1,3810.08,3.578890992201314,-0.5398912185256344,0.8417347991849367,40.4438005,-3.7264206,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0.0,5,5.0,
5.087596335232384,1,0,4246.58,3.153294280981666,0.9846538582727176,-0.1745187078471843,40.4117618,-3.6669977,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1990.0,4,3.0,
4.143134726391533,1,1,5640.18,1.8292726160769848,0.1184903712883479,0.99295520136205,40.4330613,-3.7010182,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1950.0,1,1.0,
5.220355825078324,1,0,4456.18,9.388718818428808,0.4246608281927624,0.905352517530402,40.4931887,-3.6564023,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0.0,4,3.0,
5.14166355650266,1,0,4448.3,0.9365491307776784,0.2377621426560636,-0.9713234083041536,40.4085142,-3.7009495,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.0,4,2.0,
4.499809670330265,1,1,4256.38,10.579959692900344,0.2725782501393033,0.9621336173063466,40.5083428,-3.6694346,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0.0,2,2.0,
