,neighborhood_name,district_name,sq_mt_price,center_distance,bearing_sin,bearing_cos,latitude,longitude
Neighborhood 86: Palomeras Bajas (1983.7 €/m2) - District 13: Puente de Vallecas,Palomeras Bajas,Puente de Vallecas,1983.7,5.207451815016482,0.7422415225307573,-0.6701324661820403,40.3853367,-3.6579829
Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,San Diego,Puente de Vallecas,2007.79,4.096037737283465,0.7482172125762251,-0.6634538437635763,40.3922796,-3.6674239
Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,Entrevías,Puente de Vallecas,1574.36,4.978717804328798,0.5413355149191771,-0.8408066723612446,40.3790449,-3.6717573
Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,Numancia,Puente de Vallecas,2081.94,4.186587399987332,0.8895877164540433,-0.4567643755089494,40.3995283,-3.6596765
Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,Portazgo,Puente de Vallecas,1896.75,4.595531809111183,0.8190261400792672,-0.5737562042077249,40.3930132,-3.659194
Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,Aravaca,Moncloa,3600.4,8.12048211421778,-0.8263707078819206,0.5631264983595903,40.457749,-3.7827941
Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,Argüelles,Moncloa,4807.69,1.8883100986759762,-0.564211806172202,0.8256300853141808,40.4307266,-3.7161715
Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,Ciudad Universitaria,Moncloa,3810.08,3.578890992201314,-0.5398912185256344,0.8417347991849367,40.4438005,-3.7264206
Neighborhood 77: Valdezarza (2951.77 €/m2) - District 11: Moncloa,Valdezarza,Moncloa,2951.77,5.465186757133378,-0.2000048786319323,0.9797949012540461,40.4649188,-3.7165189
Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,Casa Campo,Moncloa,3630.68,4.513712407183337,-0.982710261044162,0.18515005492441744,40.4241907,-3.755858
Neighborhood 78: Valdemarín (4249.04 €/m2) - District 11: Moncloa,Valdemarín,Moncloa,4249.04,9.021667189268612,-0.7844599369774778,0.6201794960148969,40.46694,-3.7871549
